Region,Category,Product Name,Quantity,profit margin,profit per unit 
South,Furniture,Bush Somerset Collection Bookcase,6,20,4.798
South,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",6,40,4.796
West,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,3,40,9.996
South,Furniture,Bretford CR4500 Series Slim Rectangular Table,2,30,8.697
South,Office Supplies,Eldon Fold 'N Roll Cart System,3,30,8.697
West,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",4,30,13.797
West,Office Supplies,Newell 322,4,25,5.2475
West,Technology,Mitel 5320 IP Phone VoIP phone,2,30,12.897
West,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,2,40,6.396
West,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,4,50,11.995
West,Furniture,Chromcraft Rectangular Conference Tables,3,40,9.596
West,Technology,Konftel 250 Conference phone - Charcoal black,4,20,4.798
South,Office Supplies,Xerox 1967,3,60,5.394
West,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,1,50,6.995
Central,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",2,20,4.998
Central,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,3,40,6.396
Central,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",2,40,6.396
West,Office Supplies,Fellowes Super Stor/Drawer,3,30,9.297
West,Office Supplies,Newell 341,2,20,4.998
West,Technology,Cisco SPA 501G IP Phone,2,50,8.495
West,Office Supplies,"Wilson Jones Hanging View Binder, White, 1""",3,40,9.996
Central,Office Supplies,Newell 318,5,40,9.996
Central,Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",1,30,4.497
East,Furniture,"Global Deluxe Stacking Chair, Gray",3,40,6.396
West,Furniture,Bretford CR4500 Series Slim Rectangular Table,2,50,12.995
West,Office Supplies,Wilson Jones Active Use Binders,3,25,4.2475
West,Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,6,40,9.996
East,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2,30,5.997
East,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems,1,50,5.995
East,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",3,25,4.2475
East,Office Supplies,Poly String Tie Envelopes,3,20,4.998
East,Office Supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",2,50,12.995
East,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",3,50,11.995
East,Office Supplies,Lumber Crayons,1,20,4.998
Central,Office Supplies,Easy-staple paper,4,40,9.596
Central,Technology,GE 30524EE4,3,60,26.994
Central,Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",3,40,9.596
Central,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",2,25,6.9975
Central,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3,25,6.9975
Central,Furniture,"Global Fabric Manager's Chair, Dark Gray",5,40,9.996
Central,Technology,Plantronics HL10 Handset Lifter,4,40,9.596
Central,Technology,Panasonic Kx-TS550,6,25,6.4975
West,Office Supplies,"Eldon Base for stackable storage shelf, platinum",4,40,14.396
South,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",2,25,15.7475
Central,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2,25,5.2475
Central,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,5,30,8.397
Central,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",4,40,30.796
East,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3,40,9.996
East,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",3,30,10.497
Central,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",2,30,12.897
Central,Office Supplies,Avery 485,2,40,9.996
Central,Furniture,Longer-Life Soft White Bulbs,2,25,5.2475
Central,Furniture,"Global Leather Task Chair, Black",7,60,21.594
East,Office Supplies,Advantus Push Pins,2,60,5.394
East,Technology,AT&T CL83451 4-Handset Telephone,1,50,12.995
East,Office Supplies,Home/Office Personal File Carts,3,50,8.495
East,Office Supplies,Xerox 232,4,60,19.794
East,Furniture,Novimex Turbo Task Chair,5,40,9.596
East,Office Supplies,"Array Parchment Paper, Assorted Colors",5,50,5.995
East,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3,25,4.4975
East,Office Supplies,Plastic Binding Combs,5,60,5.394
East,Office Supplies,Prang Dustless Chalk Sticks,3,25,6.4975
West,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2,50,8.495
West,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",2,40,4.796
West,Office Supplies,Xerox 1943,3,25,6.4975
West,Furniture,Luxo Economy Swing Arm Lamp,2,40,10.396
Central,Furniture,"Global Value Mid-Back Manager's Chair, Gray",2,60,26.994
West,Office Supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",7,60,26.994
West,Technology,netTALK DUO VoIP Telephone Service,4,25,5.2475
South,Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",4,50,7.995
East,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets,2,40,30.796
Central,Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3,40,9.596
South,Furniture,High-Back Leather Manager's Chair,3,25,15.7475
South,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",3,40,14.396
South,Office Supplies,Safco Industrial Wire Shelving System,5,50,7.995
Central,Office Supplies,Economy Binders,2,30,4.497
Central,Furniture,"6"" Cubicle Wall Clock, Black",1,50,11.995
Central,Office Supplies,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",8,25,6.4975
Central,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",7,40,9.596
South,Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",3,30,4.497
South,Office Supplies,Avery Heavy-Duty EZD  Binder With Locking Rings,2,30,10.497
West,Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",9,25,0.7475
West,Office Supplies,"Sortfiler Multipurpose Personal File Organizer, Black",2,40,9.596
South,Office Supplies,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,2,50,12.995
Central,Office Supplies,Safco Industrial Wire Shelving,5,30,10.497
South,Furniture,Novimex Swivel Fabric Task Chair,3,25,5.2475
Central,Technology,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,4,50,11.995
Central,Office Supplies,Avery 511,2,40,9.996
Central,Office Supplies,Eldon Portable Mobile Manager,6,25,6.9975
West,Office Supplies,Turquoise Lead Holder with Pocket Clip,3,40,9.996
West,Technology,Panasonic Kx-TS550,5,25,5.2475
West,Office Supplies,Xerox 1995,7,50,21.495
Central,Office Supplies,Xerox 1999,2,20,7.198
Central,Furniture,"Seth Thomas 13 1/2"" Wall Clock",6,30,5.997
Central,Office Supplies,Ibico Standard Transparent Covers,4,50,8.495
West,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,2,30,12.897
East,Furniture,9-3/4 Diameter Round Wall Clock,2,60,5.394
West,Office Supplies,Trimflex Flexible Post Binders,4,25,6.9975
Central,Office Supplies,Fellowes Basic Home/Office Series Surge Protectors,2,60,19.794
Central,Office Supplies,Avery Personal Creations Heavyweight Cards,3,40,6.396
Central,Technology,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,3,40,29.996
Central,Office Supplies,Avery Hidden Tab Dividers for Binding Systems,3,50,8.995
Central,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),2,40,4.796
West,Technology,Logitech K350 2.4Ghz Wireless Keyboard,2,25,6.9975
West,Furniture,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",1,30,7.497
West,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",3,30,12.897
South,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,6,25,5.2475
South,Technology,Speck Products Candyshell Flip Case,2,25,8.2475
South,Office Supplies,Newell Chalk Holder,7,30,7.497
Central,Technology,Logitech Gaming G510s - Keyboard,2,25,4.2475
East,Furniture,Magnifier Swing Arm Lamp,3,50,5.995
Central,Office Supplies,"Hunt PowerHouse Electric Pencil Sharpener, Blue",4,40,10.396
Central,Office Supplies,"Avery Durable Plastic 1"" Binders",4,30,9.297
East,Office Supplies,"OIC Colored Binder Clips, Assorted Sizes",2,40,9.996
East,Office Supplies,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",1,60,5.394
East,Office Supplies,Xerox 1921,2,25,5.2475
East,Office Supplies,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",5,50,8.995
West,Furniture,Hon Racetrack Conference Tables,3,50,7.995
South,Office Supplies,GBC DocuBind 300 Electric Binding Machine,3,30,3.297
East,Furniture,Artistic Insta-Plaque,3,40,14.396
East,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,5,50,5.995
East,Office Supplies,"Companion Letter/Legal File, Black",4,50,11.995
East,Office Supplies,Globe Weis Peel & Seel First Class Envelopes,8,50,8.495
East,Technology,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,3,40,9.596
Central,Furniture,Global Deluxe High-Back Manager's Chair,3,40,9.596
Central,Furniture,Bevis 44 x 96 Conference Tables,1,30,9.297
West,Office Supplies,"Avery Durable Slant Ring Binders, No Labels",5,25,6.9975
West,Office Supplies,"Trav-L-File Heavy-Duty Shuttle II, Black",3,25,15.7475
West,Furniture,"Global Task Chair, Black",1,40,9.996
West,Furniture,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,2,30,7.497
East,Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,6,40,9.596
East,Office Supplies,Xerox 1916,3,20,4.998
East,Office Supplies,Staples,11,20,4.798
West,Office Supplies,Xerox 195,3,25,0.7475
West,Office Supplies,Xerox 1880,2,50,20.495
West,Office Supplies,"Sanford Colorific Colored Pencils, 12/Box",1,30,12.897
West,Office Supplies,Ideal Clamps,5,50,11.995
West,Office Supplies,GBC Wire Binding Strips,2,25,0.7475
West,Office Supplies,Fiskars Softgrip Scissors,6,40,9.996
West,Furniture,Longer-Life Soft White Bulbs,3,40,29.996
East,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",2,40,6.396
West,Office Supplies,Newell 343,7,40,9.996
West,Office Supplies,Convenience Packs of Business Envelopes,4,30,10.497
West,Office Supplies,Xerox 1911,2,30,4.497
Central,Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,1,40,30.796
West,Office Supplies,Safco Industrial Wire Shelving,1,40,9.996
East,Furniture,"Seth Thomas 14"" Putty-Colored Wall Clock",2,40,9.996
Central,Technology,Plantronics Cordless Phone Headset with In-line Volume - M214C,1,50,12.995
Central,Technology,Anker Astro 15000mAh USB Portable Charger,3,60,5.394
Central,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",4,50,11.995
Central,Office Supplies,GBC Prestige Therm-A-Bind Covers,2,40,6.396
West,Office Supplies,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,1,20,4.998
West,Technology,Jabra BIZ 2300 Duo QD Duo Corded Headset,3,40,9.596
West,Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes,6,25,6.9975
West,Office Supplies,Xerox 1883,11,50,11.995
West,Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black",2,20,7.198
West,Office Supplies,Newell 311,2,40,10.396
West,Furniture,Global Deluxe High-Back Manager's Chair,2,30,8.397
Central,Office Supplies,Avery 519,2,40,29.996
Central,Technology,Avaya 5420 Digital phone,1,25,6.9975
West,Office Supplies,Xerox 1920,7,50,6.995
East,Technology,Lenovo 17-Key USB Numeric Keypad,2,50,12.995
West,Office Supplies,Staple envelope,3,30,5.997
West,Office Supplies,Wilson Jones International Size A4 Ring Binders,3,40,14.396
Central,Office Supplies,BIC Brite Liner Highlighters,5,30,4.497
Central,Technology,Lexmark MX611dhe Monochrome Laser Printer,8,60,21.594
Central,Office Supplies,Space Solutions HD Industrial Steel Shelving.,2,25,5.2475
Central,Furniture,SAFCO Arco Folding Chair,8,30,10.497
Central,Office Supplies,Sanford Liquid Accent Highlighters,3,60,5.394
Central,Office Supplies,Kensington 7 Outlet MasterPiece Power Center,7,40,9.596
Central,Technology,JBL Micro Wireless Portable Bluetooth Speaker,5,25,5.2475
West,Office Supplies,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",5,50,11.995
West,Office Supplies,Xerox 1913,3,40,9.596
West,Furniture,"Global Value Steno Chair, Gray",3,20,9.998
Central,Office Supplies,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,7,60,26.994
Central,Office Supplies,Avery 51,2,40,9.996
Central,Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",2,50,5.995
East,Furniture,"Padded Folding Chairs, Black, 4/Carton",9,50,8.495
East,Office Supplies,Acme Rosewood Handle Letter Opener,9,30,7.497
East,Office Supplies,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",6,50,11.995
Central,Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black",3,50,12.995
Central,Technology,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,1,30,5.997
South,Technology,AT&T TR1909W,3,60,5.394
South,Technology,Nokia Lumia 521 (T-Mobile),3,50,8.495
South,Technology,HP Standard 104 key PS/2 Keyboard,3,30,5.997
East,Office Supplies,Avery Poly Binder Pockets,8,40,9.996
West,Technology,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,4,40,6.396
Central,Office Supplies,"Personal Filing Tote with Lid, Black/Gray",3,40,9.996
Central,Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes,7,30,4.497
East,Furniture,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",3,40,29.996
East,Technology,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,5,30,10.497
East,Office Supplies,Xerox 205,4,60,5.394
East,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3,20,4.798
East,Office Supplies,4009 Highlighters by Sanford,5,40,6.396
West,Office Supplies,Poly String Tie Envelopes,3,40,14.396
East,Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",5,40,9.596
East,Office Supplies,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",2,60,5.394
East,Office Supplies,Decoflex Hanging Personal Folder File,5,40,9.996
East,Office Supplies,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4,30,5.997
East,Office Supplies,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",2,50,11.995
East,Office Supplies,Southworth 25% Cotton Linen-Finish Paper & Envelopes,3,30,5.997
West,Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,6,50,6.995
West,Office Supplies,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",5,20,1.398
Central,Office Supplies,Eureka Sanitaire  Commercial Upright,3,50,12.995
South,Furniture,"Eldon 200 Class Desk Accessories, Burgundy",2,30,5.997
West,Technology,Nortel Business Series Terminal T7208 Digital phone,2,40,6.396
Central,Office Supplies,"Tennsco Lockers, Gray",3,60,26.994
Central,Technology,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,6,50,8.995
Central,Office Supplies,"Avery Durable Slant Ring Binders, No Labels",6,50,7.995
Central,Office Supplies,"Advantus Push Pins, Aluminum Head",3,25,2.2475
Central,Office Supplies,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",7,40,9.596
Central,Technology,Memorex Micro Travel Drive 8 GB,5,25,2.2475
East,Office Supplies,Avery 505,3,60,21.594
East,Furniture,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,3,30,9.297
East,Technology,Speck Products Candyshell Flip Case,2,60,5.394
East,Technology,Cisco 9971 IP Video Phone Charcoal,3,40,6.396
East,Technology,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,7,50,7.995
West,Office Supplies,"Personal Filing Tote with Lid, Black/Gray",2,30,9.297
